,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
145,santiago de cao,19.07,-79.2392,-7.9589,40,4.63,88
146,buenavista del norte,26.58,-16.861,28.3746,4,4.04,57
147,ingeniero jacobacci,11.95,-69.5448,-41.3427,86,7.3,59
148,scarborough,6.43,-0.4044,54.2797,96,2.68,86
149,ta`u,28.78,-169.5144,-14.2336,98,5.7,77
150,utrik,27.25,169.8474,11.2278,57,8.19,81
151,naze,22.08,129.4833,28.3667,73,0.55,83
152,sandnessjoen,-5.71,12.6316,66.0217,8,3.74,72
153,caribou,3.02,-68.012,46.8606,0,1.54,83
154,jirja,19.95,31.8916,26.3383,21,2.86,38
155,loikaw,33.12,97.2094,19.6742,0,2.01,27
156,as sulayyil,24.14,45.5779,20.4607,5,7.84,30
157,tweed heads,27.15,153.547,-28.1817,90,5.66,60
158,juneau,10.0,-134.4197,58.3019,20,1.54,25
159,tual,28.06,132.75,-5.6667,35,0.95,78
160,jesus maria,11.86,-64.0942,-30.9815,46,1.44,92
161,lebu,13.11,-73.65,-37.6167,94,4.39,94
162,ust-nera,-7.58,143.2,64.5667,89,1.23,73
163,dokshytsy,1.45,27.7689,54.8924,51,2.85,90
164,anadyr,-14.44,177.4833,64.75,15,10.0,71
165,haiku-pauwela,25.21,-156.3051,20.9219,0,8.23,68
166,winchester,7.05,-1.3187,51.0651,20,6.17,84
167,nabire,29.14,135.4833,-3.3667,97,2.07,71
168,coyhaique,10.97,-72.0662,-45.5752,0,1.54,71
169,la'ie,25.85,-157.9253,21.6477,0,1.79,66
170,concepcion,13.89,-73.0498,-36.827,100,3.6,94
171,lamballe,6.96,-2.5144,48.4676,18,7.73,84
172,south grafton,29.15,152.95,-29.7,4,1.24,45
173,uturoa,27.56,-151.4333,-16.7333,67,8.31,78
174,messaad,12.84,3.5031,34.1543,2,9.18,60
175,cockburn town,25.69,-71.1419,21.4612,2,8.69,79
176,passi,28.68,122.65,11.15,90,4.93,38
177,parnarama,23.72,-43.0933,-5.6817,47,0.44,98
178,mitrofanovka,9.74,39.6939,49.9708,100,1.26,90
179,saudarkrokur,-3.37,-19.6394,65.7461,100,3.74,97
180,middletown,16.75,-84.3983,39.5151,0,3.09,71
181,nemuro,6.99,145.575,43.3236,38,6.32,90
182,new plymouth,15.73,174.0833,-39.0667,7,6.0,82
183,namibe,22.31,12.1522,-15.1961,68,2.15,80
184,ribeira grande,17.1,-28.7,38.5167,100,4.92,93
185,nizhnesortymskiy,-3.33,71.7603,62.4397,95,7.16,85
186,isangel,29.06,169.2667,-19.55,75,3.09,61
187,arraial do cabo,24.72,-42.0278,-22.9661,96,9.0,84
188,chibougamau,-2.21,-74.3659,49.9168,100,2.57,80
189,ulsteinvik,2.83,5.8487,62.3432,99,1.79,79
190,belyy yar,3.94,91.3903,53.6039,75,4.0,60
191,flying fish cove,28.82,105.6791,-10.4217,100,5.66,78
192,souillac,24.21,57.5167,-20.5167,75,6.69,94
193,elkins,14.04,-79.8467,38.9259,0,0.0,90
194,cambuci,21.81,-41.9111,-21.5753,84,1.11,96
195,hithadhoo,28.99,73.0833,-0.6,100,5.17,74
196,monrovia,27.51,-10.7969,6.3005,12,2.71,90
197,chokwe,17.13,32.9833,-24.5333,0,1.42,86
198,taro,26.59,115.28,-8.3862,57,1.71,71
199,bikenibeu village,29.98,173.1241,1.3673,75,2.57,74
200,saskatoon,14.34,-106.6345,52.1168,75,7.72,37
201,gaalkacyo,25.99,47.4308,6.7697,37,2.91,82
202,yarmouth,11.73,-70.2286,41.7057,100,5.14,73
203,sao francisco do sul,22.73,-48.6381,-26.2433,77,2.25,97
204,phongsali,29.96,102.1058,21.6833,0,1.4,27
205,poso,29.75,120.7524,-1.3959,98,0.62,64
206,stanley,5.86,-1.6985,54.868,75,6.69,81
207,tura,32.94,90.2201,25.5198,42,3.36,33
208,gadzhiyevo,-3.43,33.3362,69.2551,100,9.83,68
209,ialibu,19.89,143.9935,-6.2821,97,1.03,87
210,papatowai,9.76,169.4708,-46.5619,100,1.81,91
211,kataba,17.46,44.3833,13.9833,16,0.83,84
212,neiafu,27.28,-173.9833,-18.65,87,6.6,81
213,susuman,-13.9,148.1667,62.7833,92,1.34,77
214,basco,26.76,121.9702,20.4487,0,2.98,76
215,egilsstadir,-1.05,-14.3948,65.2653,100,3.09,80
216,bodo,-1.93,14.405,67.28,0,2.06,81
217,jaicos,25.05,-41.1378,-7.3592,50,0.58,73
218,alice springs,25.75,133.8833,-23.7,10,7.72,18
219,longboat key,20.71,-82.659,27.4125,0,1.54,59
220,hermantown,8.07,-92.2383,46.8069,40,4.63,50
221,mullsjo,-0.07,19.7,63.7,100,3.77,88
222,talnakh,-18.19,88.3972,69.4865,98,1.37,94
223,inari,-2.24,27.0288,68.906,99,4.41,89
224,mili,28.19,171.735,6.0815,50,4.02,78
225,badger,6.75,-147.5333,64.8,40,2.57,34
226,tucuma,25.29,-50.05,-0.1833,100,2.05,95
227,swift current,15.45,-107.8014,50.2834,100,4.12,41
228,gannan,15.78,123.5031,47.9147,1,5.8,19
229,klyuchi,4.82,79.1667,52.2667,11,2.87,63
230,damboa,30.75,12.7576,11.156,94,1.56,17
231,dudinka,-21.45,86.1778,69.4058,99,3.24,97
232,rio grande,22.44,-52.0986,-32.035,100,9.67,97
233,annau,15.72,58.516,37.8876,40,1.03,55
234,akrehamn,1.3,5.1833,59.2667,20,0.0,80
235,chapadinha,23.32,-43.3603,-3.7417,68,1.07,99
236,siwa oasis,21.2,25.5195,29.2041,97,3.82,42
237,xianning,21.64,114.2167,29.8833,100,2.37,93
238,bamboo flat,31.4,92.7167,11.7,15,2.21,57
239,kapa'a,24.91,-159.319,22.0752,75,4.92,70
240,pembroke,7.99,-77.1162,45.8168,12,2.52,83
241,richards bay,18.76,32.0377,-28.783,90,2.7,90
242,oranjemund,14.19,16.4333,-28.55,0,1.95,74
243,hamilton,18.26,-84.5333,39.1834,0,1.54,66
244,san julian,23.14,-102.1667,21.0167,100,2.95,25
245,east london,19.52,27.9116,-33.0153,0,3.6,88
246,hede,22.64,120.2517,33.7681,8,5.28,49
247,chonchi,13.4,-73.8092,-42.6128,100,1.54,91
248,auriflama,22.69,-50.5547,-20.6856,100,2.88,78
249,zima,7.7,102.0442,53.9202,71,7.39,54
250,nema,3.83,50.5011,57.5067,48,3.57,90
251,idri,20.87,13.2667,27.5,2,7.32,24
252,machico,20.48,-16.7667,32.7,20,2.57,42
253,cova figueira,22.88,-24.2934,14.8905,0,3.48,64
254,smithers,5.18,-127.1743,54.7804,100,4.12,56
255,sierra grande,15.08,-65.3557,-41.606,100,5.56,95
256,nuuk,0.34,-51.7216,64.1835,100,5.66,100
257,al wajh,22.97,36.4525,26.2455,0,3.09,43
258,damghan,13.19,54.348,36.1683,68,0.55,44
259,sinabang,29.7,96.3801,2.4803,93,0.61,71
260,daru,29.68,143.2092,-9.0763,84,2.11,76
261,georgetown,29.75,100.3354,5.4112,20,2.06,79
262,mukalla,27.87,49.1242,14.5425,45,4.12,84
263,palmas,25.93,-48.3603,-10.2128,40,2.06,94
264,namtsy,-2.77,129.6658,62.7161,100,1.9,82
265,nandu,30.27,110.8233,22.8525,100,4.22,58
266,peniche,14.68,-9.3811,39.3558,76,7.89,90
267,asau,9.51,26.4,46.4333,94,3.56,58
268,atafu village,27.53,-172.5159,-8.5421,100,4.3,82
269,minas de marcona,16.29,-75.1103,-15.2119,79,6.38,91
270,malango,22.3,119.9001,-2.9627,100,0.17,94
271,jianshui,28.37,102.8264,23.6363,0,5.69,29
272,zeya,7.49,127.2667,53.75,25,2.68,61
273,ocean city,15.9,-74.5746,39.2776,27,0.89,80
274,muynoq,17.1,59.0214,43.7683,9,2.49,55
275,lompoc,11.56,-120.4579,34.6391,0,9.83,80
276,saipan,31.39,145.701,15.1355,40,6.17,62
277,ad dawadimi,12.64,44.3924,24.5077,4,7.99,72
278,mount gambier,17.59,140.7667,-37.8333,57,3.61,54
279,thunder bay,3.95,-89.3168,48.4001,0,0.51,65
280,fortuna,9.76,-124.1573,40.5982,75,5.66,86
281,prince rupert,6.97,-130.3201,54.3161,0,4.12,70
282,ketchikan,9.19,-131.6461,55.3422,0,3.09,49
283,yoichi,15.72,140.7703,43.2039,96,1.06,52
284,masterton,16.17,175.6575,-40.9597,0,2.21,41
285,luderitz,13.48,15.1594,-26.6481,0,2.4,77
286,las trojes,21.24,-85.9833,14.0667,95,1.49,88
287,aykhal,-0.88,111.5,66.0,100,1.6,99
288,yeppoon,27.88,150.7333,-23.1333,21,5.62,69
289,lodwar,28.09,35.5973,3.1191,100,6.83,63
290,cidreira,23.22,-50.2056,-30.1811,100,10.28,94
291,grand falls-windsor,6.39,-55.6649,48.9332,100,1.79,92
292,puerto palomas,16.22,-107.6167,31.7667,0,10.44,18
293,teknaf,31.6,92.3058,20.8624,35,1.64,45
294,wailua homesteads,24.2,-159.378,22.0669,75,4.92,70
295,bulgan,15.38,103.5347,48.8125,5,4.79,25
296,minjur,30.59,80.2667,13.2667,97,4.56,66
297,saint-junien,7.32,0.9,45.8833,38,2.17,96
298,sisimiut,-8.07,-53.6735,66.9395,70,4.86,55
299,loukhi,-3.81,33.0381,66.0764,100,6.34,93
300,korets,7.88,27.1605,50.6165,100,3.3,96
301,taoudenni,24.27,-3.9836,22.6783,0,2.13,21
302,port augusta,23.16,137.7667,-32.5,0,5.06,40
303,sinop,13.6,34.8709,41.7711,97,5.47,54
304,weno,27.97,151.8468,7.4515,100,3.09,89
305,tarawa,30.05,172.984,1.419,75,2.57,74
306,yuzhno-kurilsk,10.76,145.8556,44.0306,44,5.08,76
307,vilyuysk,-1.67,121.6247,63.7553,95,4.92,87
308,puerto baquerizo moreno,24.4,-89.6,-0.9,96,3.78,89
309,sokoni,25.36,39.55,-6.4333,100,6.25,83
310,thomaston,16.72,-84.3266,32.8882,0,0.0,70
311,gereida,23.81,25.1414,11.2811,10,5.34,14
312,karasburg,15.75,18.75,-28.0167,0,1.92,41
313,gorontalo,33.06,123.0595,0.5412,46,1.69,46
314,brisas de zicatela,27.66,-97.0419,15.8369,84,2.77,75
315,arawa,31.81,155.5367,-6.2132,79,1.43,62
316,sokhumi,13.26,41.0153,43.0033,42,2.35,70
317,rodeo,13.64,-122.2669,38.033,0,5.36,77
318,ojinaga,31.53,-104.4167,29.5667,0,8.75,10
319,northam,8.9,-4.2167,51.0333,77,10.68,85
320,mezzouna,17.49,9.8419,34.5776,98,4.17,72
321,ciudad lazaro cardenas,23.94,-102.2,17.9583,88,0.25,84
322,pont rouge,0.06,-72.0825,48.8833,98,3.66,88
323,val-d'or,0.05,-77.7828,48.1002,100,5.14,86
324,mermoz boabab,25.31,-17.4758,14.7065,0,6.25,56
325,konarka,32.87,86.1167,19.9,0,6.99,59
326,quepos,27.18,-84.1652,9.4236,11,1.12,76
327,brookings,18.35,-96.7984,44.3114,0,8.23,36
328,crane,25.05,-102.3501,31.3974,34,3.29,13
329,pecos,27.32,-103.4932,31.4229,2,6.17,3
330,prineville,6.93,-120.8345,44.2999,0,5.14,60
331,homnabad,32.68,77.1333,17.7667,22,5.2,27
332,navirai,22.4,-54.1906,-23.065,100,3.1,96
333,novyy turtkul',16.95,61.0167,41.55,75,2.35,30
334,dossor,14.07,52.9811,47.5272,100,8.02,75
335,ritchie,12.56,24.6028,-29.038,3,4.35,81
336,bassila,27.21,1.6654,9.0081,53,1.89,63
337,pedernales,27.0,-71.744,18.0384,80,1.16,76
338,zigong,23.93,104.7769,29.3416,100,2.58,68
339,phra phutthabat,33.09,100.7954,14.7253,5,5.02,70
340,milak,32.19,79.1833,28.6167,94,5.01,28
341,wynyard,17.46,145.7167,-41.0,72,4.08,46
342,sheridan,14.09,-106.9173,44.8333,100,5.66,56
343,yura,10.29,-71.6797,-16.2522,0,1.54,46
344,veraval,30.05,70.3667,20.9,6,4.73,52
345,ranong,33.96,98.6348,9.9658,55,1.29,53
346,le vauclin,27.03,-60.8388,14.5452,40,3.09,78
347,oamaru,13.54,170.9801,-45.0784,97,6.46,82
348,tanout,27.61,8.8879,14.9709,97,4.76,14
349,portage la prairie,9.39,-98.2926,49.9728,100,4.34,69
350,nadi,31.0,177.4167,-17.8,40,6.17,66
351,simenqian,28.48,110.8861,27.4872,66,1.69,69
352,debark',14.11,37.8981,13.1561,100,0.59,21
353,dryden,6.16,-92.7503,49.7833,20,3.09,56
354,newborough,7.09,-0.2233,52.6389,20,6.69,80
355,hadithah,21.23,42.3781,34.1397,1,3.07,52
356,el golaa,18.76,9.0068,33.4849,37,3.0,60
357,chacabuco,14.34,-60.4739,-34.6417,100,6.74,95
358,noosa heads,27.12,153.15,-26.3833,65,3.25,62
359,cascais,13.98,-9.4215,38.6979,98,10.73,87
360,namsos,-4.05,11.4957,64.4662,31,2.06,93
